INFO  - 2015-04-03 22:24:43.953; org.apache.solr.common.cloud.ZkStateReader; path=/collections/gettingstarted configName=gettingstarted specified config exists in ZooKeeper
INFO  - 2015-04-03 22:24:43.954; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/example/cloud/node2/solr/gettingstarted_shard1_replica1/'
INFO  - 2015-04-03 22:24:43.954; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/example/cloud/node2/solr/gettingstarted_shard2_replica1/'
INFO  - 2015-04-03 22:24:43.967; org.apache.solr.cloud.ZkController; watch zkdir /configs/gettingstarted
INFO  - 2015-04-03 22:24:43.971; org.apache.solr.cloud.ZkController; watch zkdir /configs/gettingstarted
INFO  - 2015-04-03 22:24:43.987; org.apache.solr.core.Config; loaded config solrconfig.xml with version 0 
INFO  - 2015-04-03 22:24:43.988; org.apache.solr.core.Config; loaded config solrconfig.xml with version 0 
INFO  - 2015-04-03 22:24:44.076; org.apache.solr.core.RequestParams; conf resource params.json loaded . version : 0 
INFO  - 2015-04-03 22:24:44.077; org.apache.solr.core.RequestParams; request params refreshed to version 0
INFO  - 2015-04-03 22:24:44.077; org.apache.solr.core.SolrConfig; current version of requestparams : 0
INFO  - 2015-04-03 22:24:44.091; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2015-04-03 22:24:44.095; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2015-04-03 22:24:44.096; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2015-04-03 22:24:44.097; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/aspectjrt-1.8.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.108; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2015-04-03 22:24:44.110; org.apache.solr.core.RequestParams; conf resource params.json loaded . version : 0 
INFO  - 2015-04-03 22:24:44.111; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2015-04-03 22:24:44.112; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.112; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/commons-compress-1.8.1.jar' to classloader
INFO  - 2015-04-03 22:24:44.111; org.apache.solr.core.RequestParams; request params refreshed to version 0
INFO  - 2015-04-03 22:24:44.113; org.apache.solr.core.SolrConfig; current version of requestparams : 0
INFO  - 2015-04-03 22:24:44.112; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/fontbox-1.8.8.jar' to classloader
INFO  - 2015-04-03 22:24:44.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/icu4j-54.1.jar' to classloader
INFO  - 2015-04-03 22:24:44.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/isoparser-1.0.2.jar' to classloader
INFO  - 2015-04-03 22:24:44.118; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/java-libpst-0.8.1.jar' to classloader
INFO  - 2015-04-03 22:24:44.119; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.123; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2015-04-03 22:24:44.128; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/jempbox-1.8.8.jar' to classloader
INFO  - 2015-04-03 22:24:44.130; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.128; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2015-04-03 22:24:44.131; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2015-04-03 22:24:44.131; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/aspectjrt-1.8.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.132; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2015-04-03 22:24:44.132; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2015-04-03 22:24:44.132; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.133; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/commons-compress-1.8.1.jar' to classloader
